B;S;H0;H;Q;W;R;dB
2,50;3,00;3,26;5,50;504,00;10,55;158,28;120,70
2,50;3,00;3,29;5,00;19,70;8,05;15,63;133,70
2,50;4,50;2,83;4,50;120,00;7,85;137,03;120,70
2,50;3,00;3,33;6,00;251,00;12,55;97,68;120,40
3,00;2,50;3,34;6,00;204,00;12,50;50,48;120,70
2,50;2,50;2,47;3,00;80,00;2,50;94,29;120,60
2,50;2,50;2,28;6,00;475,00;17,50;94,72;120,60
2,50;2,00;2,00;4,50;230,00;11,75;186,07;120,30
3,00;3,00;2,98;5,00;126,60;9,50;114,99;120,60
2,50;3,00;3,53;4,50;92,65;4,55;70,92;120,60
2,50;2,50;2,20;5,50;747,00;15,50;141,23;120,50
2,50;3,00;2,48;6,00;530,00;16,55;176,54;120,50
2,50;3,00;2,70;6,00;958,00;15,50;181,64;120,50
2,50;3,00;2,70;6,00;865,25;15,50;198,13;120,50
2,50;3,00;3,26;5,50;400,00;10,55;120,25;120,20
3,00;3,00;3,02;6,00;91,00;14,00;112,84;120,20
3,00;3,00;3,40;5,00;37,50;7,50;100,14;120,60
3,00;3,00;1,83;4,50;348,00;12,55;130,53;120,40
2,50;2,50;3,02;6,00;315,50;14,00;81,72;120,40
2,50;3,00;3,26;5,50;844,00;10,55;51,57;120,20
2,50;3,00;3,26;5,50;330,00;10,55;128,70;120,40
2,00;2,00;1,90;2,60;60,00;3,27;157,81;120,40
2,50;2,50;2,48;4,30;43,50;8,55;51,77;120,10
2,50;3,00;3,01;6,00;477,00;14,05;232,89;120,30
2,50;3,00;2,69;6,20;1119,60;16,50;36,37;127,00
3,00;3,00;1,83;4,50;348,00;12,55;91,74;120,40
2,50;2,50;2,20;5,50;494,50;15,50;43,42;120,10
3,00;2,50;3,34;6,00;204,00;12,50;117,38;120,20
2,50;3,00;2,43;6,00;50,15;16,80;141,78;119,90
2,00;2,50;4,03;6,00;125,75;9,25;95,58;120,20
2,50;2,50;2,83;4,00;27,50;5,50;63,14;120,20
3,00;3,00;3,02;6,00;91,00;14,00;109,86;119,90
2,50;3,00;3,34;6,00;303,20;12,50;148,52;120,10
2,50;3,00;3,26;5,50;500,00;10,55;86,23;120,20
3,00;4,00;2,70;6,00;393,00;15,50;84,06;120,00
2,50;3,00;3,16;7,00;267,65;18,05;150,40;120,00
2,50;3,00;3,26;5,50;212,00;10,55;139,69;120,00
3,00;2,50;3,34;6,00;204,00;12,50;80,19;119,90
3,00;3,50;2,98;6,50;745,00;16,55;188,90;119,90
3,00;3,50;2,98;6,50;745,00;16,55;176,89;119,90
2,50;2,50;2,26;4,50;393,00;10,55;51,77;119,80
2,50;3,00;3,00;5,50;920,00;11,75;147,78;119,90
2,50;3,00;2,76;5,00;147,40;10,55;123,08;119,90
2,50;3,00;3,16;7,00;267,65;18,05;122,28;119,70
2,50;3,00;3,16;5,50;682,00;11,00;36,00;119,90
2,50;3,00;3,26;5,50;844,00;10,55;27,98;127,60
2,50;2,50;3,23;6,00;327,50;13,00;82,99;119,70
